Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
VGT,583.02,2024/09/25,16:00 EDT,0.390015,580.71,585.97,580.71,300424,20240627,577.56,1.49,0.0,,,
IQLT,40.99,2024/09/25,16:00 EDT,-0.169998,41.22,41.22,40.955,437930,20240719,39.16,5.56,0.0,,,
IQLT,40.99,2024/09/25,16:00 EDT,-0.169998,41.22,41.22,40.955,437930,20240624,39.25,16.3,0.0,,,
SPGP,103.33,2024/09/25,16:00 EDT,-0.75,104.09,104.3544,103.2,202616,20240719,103.56,2.88,0.0,,,
SPGP,103.33,2024/09/25,16:00 EDT,-0.75,104.09,104.3544,103.2,202616,20240624,103.0,8.23,0.0,,,
AVDV,69.68,2024/09/25,16:00 EDT,-0.489998,70.3,70.31,69.6301,256066,20240719,66.88,4.48,0.0,,,
AVDV,69.68,2024/09/25,16:00 EDT,-0.489998,70.3,70.31,69.6301,256066,20240624,65.21,9.77,0.0,,,
AVUV,94.06,2024/09/25,16:00 EDT,-1.41,95.44,95.44,93.94,822397,20240624,89.28,11.84,0.0,,,
AVUV,94.06,2024/09/25,16:00 EDT,-1.41,95.44,95.44,93.94,822397,20240903,93.92,3.19,1.5,,,
AVUV,94.06,2024/09/25,16:00 EDT,-1.41,95.44,95.44,93.94,822397,20240719,95.62,3.13,0.0,,,
VT,118.49,2024/09/25,16:00 EDT,-0.590004,119.05,119.12,118.405,1654356,20240903,115.91,3.27,1.5,,,
VT,118.49,2024/09/25,16:00 EDT,-0.590004,119.05,119.12,118.405,1654356,20240816,115.135,4.38,0.0,,,
VT,118.49,2024/09/25,16:00 EDT,-0.590004,119.05,119.12,118.405,1654356,20240903,115.93,8.8,0.0,,,
VT,118.49,2024/09/25,16:00 EDT,-0.590004,119.05,119.12,118.405,1654356,20240625,112.6737,8.9,0.0,,,
VT,118.49,2024/09/25,16:00 EDT,-0.590004,119.05,119.12,118.405,1654356,20240719,114.06,7.009,0.0,,,
VT,118.49,2024/09/25,16:00 EDT,-0.590004,119.05,119.12,118.405,1654356,20240624,112.55,56.5,0.0,,,
